#fingerprint	count
524278555	1
175909666	1
1972148207	1
669245359	17
1057487902	1
1161564148	4
-570100453	29
141308422	1
2079596807	3
-1004907500	65
545544863	1
-1207843773	1
-1265390630	1
1616915351	11
461195701	7
-1283922009	1
-1016540064	4
-684433652	9
2091655399	6
1821007967	12
224590937	23
-814157333	6
1289018724	33
-1276065698	3
-238535857	7
374809181	2
317612399	2
-1946462750	1
930654159	2
1233477462	20
2038933013	6
-319589418	4
944771149	6
1560544360	18
1298257990	7
-1683753812	7
-1271029937	3
-1964998907	206
1171005637	1
2088309737	9
204346306	1
-1110315078	3
-1805494368	9
-1921131845	3
1741516941	5
-91343749	1
-1493175980	26
-799445668	3
697438500	8
915213367	10
1905557614	7
-335404140	3
1571235468	14
143043465	54
-1752575342	84
770934707	70
-1360698419	2
779152461	2
-1197537921	4
1185803113	1
-780575852	13
-439619227	2
-1241713239	1
-799282542	5
1205927655	3
-285106429	1
711122470	2
-1567044270	6
-534370897	1
2118164578	12
1814365803	32
1926474713	1
1760882377	1
-1862986008	32
1137483916	2
-631596734	4
1005657335	14
932951544	4
-856603879	6
845759212	8
-257353432	6
-1064635546	1
0	0
-1541780440	1
-1496028180	15044
-942676936	6
-2124391307	57
744813674	2
1451366232	23
780470976	1
1498445238	1
-1290510245	1
126282450	1
-330517239	16
982274920	1
-1265933858	2
2071123919	3
-42459993	1
-740226837	13
-318875646	22
-604730356	4
-1468926839	5
653611014	2
1696828777	174
654694122	2
1977029850	7
410806682	8
276925435	14
1704459752	7
1252886935	3
457150511	3
2106127772	1
348641995	22
73337440	5
2090470595	3
-1086094106	11
609801277	5
-2122991652	2
456594954	3
425960292	7
2021471173	1
-534997699	7
1982592422	8
946330716	2
-669278300	4
726170885	1
199917111	2
-727290647	39
264457603	9
-1978504034	1
-155443142	5
-870052344	14
-1431687702	8
1642444797	3
295843752	1
-2063921030	3
230909968	3
-741945670	6
867983111	2
508808892	4
1754266776	3
-462865784	72
603408862	1
2053890926	6
-2038995068	12
-1544741399	1
-1600155036	1
-1821826125	12
-1632399889	3
-2043642729	3
-1390470564	6
-890746830	31
-1674891743	1
-2016008253	6
-760042917	8
98852271	2
1645383160	3
1457538777	8
50624960	5
-1915715593	28
2106995261	5
2069018083	3
204040930	1
1307868865	2
-1884047156	44
2083106959	10
2064509234	8
829603230	8
1144537376	54
-1778338668	6
-985855798	2
-626020306	1
108849917	1
-872505772	4
749743776	4
-1962210588	3
835670187	1
530710343	1
454416108	152
368429617	1
-903957892	1
-731996292	35
-266558727	2457
-1269523582	6
1128148798	32
-1447686638	6
-336223265	1
446553640	4
-2062388957	12
-1474221985	2
229558733	1
1174892397	7
-394091634	1
-617052006	1
-455464156	15
1385620196	1
1344009996	3
428643012	1
-1653933576	19
239165432	1
1931458229	12
586668400	72
-164699565	5
382296899	1
-1880368566	3
665010677	8
-180075986	1
1872238461	5
1785792201	1
1941098556	1
1188867408	13
-530063281	4
1558873773	4
1175016596	3
2106524347	1
-1536126919	38
-1572687062	3
829389778	17
450504810	2
-553445192	32
177284115	14
148104701	2
-1435091128	546
-1223844436	1
1673686309	23
-1462287916	2
1616505298	37
-207340022	3
-1751071376	38
1657321462	1
-1951723384	6
-1433593155	1
-589034860	3
617127665	2
-1798650791	2
-1160075528	5
-750765028	17
331049429	1
2092531040	1
142705259	2
126447539	2
0	0
-1960810693	64
-1099451423	3
-926200113	62
-1384228458	19
0	0
-1450756326	1
-1925039148	1
-1789327288	2
-177470079	3
-1911984490	1
-701256162	1
686763110	2
-1008495972	4
-1247591352	1
808443259	14
-651719959	2
2068196289	3
802767517	63
-932336176	6
841720176	77
2137770892	6
-377333807	6
764019940	1
-1637394699	2
696197850	6
1348192082	1
1358254417	36
440338947	10
-1935707600	3
-1491267570	67
438234262	4
-902889165	95
164580083	9
-1079176730	1
1229052389	3
-1348594115	2
2145411073	19
-589181529	67
1320087960	6
718321950	2
-301535514	4
-351910155	32
953230768	4
2036811050	6
-1064105997	31
-1855122218	1
-1376947043	1
-156560150	1
-1183590697	3
976297709	19
-746711401	37
1514398991	6
-288101990	1
-1843062974	1
577631865	1
-1598634871	6
-1077855040	171
1833147507	1
-1495888317	7
-2121589319	27
-1816464790	5
-1950238267	174
-1888502709	1
-2142829559	10
-246022377	7
1581899103	14
-876015405	16
1180148460	5
1921930470	1
640628494	1
618660749	2
-279921553	1
1667819402	89
-1393991207	1
-380932113	9
2091077161	1
-588935725	1
547115289	3
-2059181223	2
-2045978161	1
1993454034	2
-1313318087	7
1212158634	1
-660482009	2
-162208759	1
-1365719380	6
-1941584198	51
-244845209	10
1356312511	3
0	0
349895973	1
255345036	11
-669804976	4
1066603745	2
-536026847	2
2011214123	2
-991539586	23
800033763	1
1404625700	6
928296962	388
1870632828	2
-1666716875	7
2035520686	38
-1014185832	1
1447685276	2
1520603271	6
-1339020632	1
-1685137403	8
-1598105079	15
0	0
-1603465764	2
1144186842	8
1662430867	8
-988600698	1
-1282556226	1410
159939219	5
1836993598	3
1158187037	1
-232150066	1
1702074932	1
727769582	43
653952365	1
-1555041634	1
-556500853	84
349227341	26
2052813757	1
-255848411	4
598929027	1
1784928963	1
-878497693	1
1117838740	16
1787805086	5
-1749972632	3
1850740513	22
1689672151	6
469052453	8
-1832943139	10
1918281931	8
-1149209979	168
-1648602015	13
-2077254836	3
-343683083	1
187400296	6
2029767284	2
1553830522	1
-1420155958	25
1362573641	7
-1484339796	1
-12113492	10
-108226870	442
1440298334	1
269342316	1
223321344	64
2099075140	5
-678609480	374
-1415224924	1
683699007	3
-1636998671	1
1530603861	12
1493384795	1
-1305960155	6
-1489064465	104
-16896210	13
-188385753	3
-1287006251	1
-27896957	1
-1306101694	1
-69396816	2
1180122798	1
1906802525	1
1485390516	25
-1746933991	2
-504359489	3
-1416308016	5
-1872036890	1
-703601983	1
-1861856027	5
1333704680	4
-57477647	1
-466824035	9
-1746687094	4
-146333947	1
-1708576650	3
963945823	1
-258696051	15
1927686	22
-1865931777	1
660957667	137
-1029417777	1
-545475651	20
1240569675	39
-2064652646	1
1821332911	13
815389585	2
-1999309915	1
-85073088	1
1546561962	1
1737417418	6
181040784	1
1617145193	1
1010417358	6
772114131	2
-1480577640	1
-194063227	36
2050203621	26
1057768097	15
1763501525	1
1702182919	33
1964633953	6
-2064350931	2
-1031791955	1
-939340355	10
274889857	6
781110890	1
398190399	4
1653059123	4
49328958	2
581543828	2
-1825707756	38
-1063763494	1
1270646480	5
-177248153	14
573056915	263
6501540	2
967432120	1
-1750498017	2
-1947391848	2
-2043793775	9
785559707	2
1535464749	8
703076776	6
697883277	5
-1449338312	1
1398834731	3
-957425149	235
-1957369118	4
-1457179917	1
469525215	1
-415446816	1
-1895828163	2
1975215218	2
-2099142061	11
-888736950	13
54552623	4
2110049514	69
1783878110	5
-2030182068	7
-1713353736	1
-906246742	1
1341675078	1
0	0
524530245	3
-2089539787	1
-2003377354	3
38768994	10
636199992	1
1974125222	4
-175593892	5
1166778899	4
-1748084626	4
-233996864	2
2040963456	1
-1983777477	7
1569135662	1
0	0
1381416336	22
785403646	4
-831503153	1
-1378865251	1
-1696521786	2
-1490463649	1
-1252752261	1
-1800216035	5
-2011110923	11
-1851614875	3
1393400736	3
-1467583217	2
619179723	1
-1691580116	11
-1281513346	12
1407341968	1
944683704	8
-1402957553	18
1456312820	6
2069330733	1
30306661	10
1315831264	3
-1550473722	1
539094152	1
-2139524360	1
348305767	2
-1244962100	14
-1495440877	61
-85821231	3
1904453670	1
1324290415	149
-430986946	5
-951657732	1
800594198	88
-1915353290	11
-1411568313	31
1195888812	8
1831898525	11
1394616091	11
502793562	1
-230310310	2
974607458	8
953177406	2
2093027936	1
-645057024	1
1440793256	9
1036133327	10
-1733329563	3
113154202	1
-923764796	1
-1313908372	6
-146888695	5
161193796	2
1345590562	6
76630723	2
-330241833	249
806377518	6
292091220	8
-192955362	2
1016714151	3
911577498	51
-395453924	26
93609347	1
1842454605	2
-1838611395	1
1171213102	1
1427958486	3
-1716153594	2
1741308762	20
934061492	1
-1271266955	2
-1601617748	4
1722978936	3
-1261804064	1
-744105510	3
1833071253	5
159758547	10
-998190551	2
1040676426	6
996299009	1
1859958881	2
-1259059775	3
1432962990	3
-1583202773	9
-766860614	5
1096129474	1
-111649317	1
-502553929	3
-986919856	1
130355668	3
-1242239542	2
-1323118575	2
248582989	1
-161161083	6
-1651805530	7
-113360991	1015
-1140525238	2
973565812	3
-1282212559	1
-1079125418	1
1005502777	2
-656078533	1
126981177	17
598860937	6
410465020	20
1076107122	2
1144606952	15
872772738	3
245155465	1
-1212066171	122
-2082606174	17
-1681157186	75
418099920	3
1528015902	52
264789538	17
-1486662239	12
824005685	4
-620031844	6
2128449752	35
-515173993	3
-1444311565	2
1440595337	5
-1667253302	16
-548203960	3
-2036628146	1
-806874843	3
-1969391842	1
1336360555	8
1377155636	5
-2023530192	4
-1808141724	1
945723711	20
-169204652	9
1880959403	30
167229887	7
143046765	1
1804121874	2
-946224364	1
-1159645877	30
660854835	13
-626359587	3
1862768516	30
191704824	2
1666869042	1
-1210146044	23
-9754209	3
-809018960	1
82518424	3
97780338	5
337248404	2
-602501574	1
